5150
g,-30,500,30,220
g,0,690,6600,30
g,131,593,170,30
b,793,401,181,30
w,596,499,196,30
g,762,529,30,161
b,792,591,114,30
w,976,305,132,30
g,1160,160,30,289
b,1119,499,118,30
g,1160,529,30,161
g,873,243,30,158
w,692,300,68,30
g,299,499,177,30
w,524,330,30,170
g,5120,1,30,630
b,5150,591,59,30
w,5150,492,58,30
b,5150,393,58,30
w,5150,295,58,30
b,5150,195,58,30
w,6380,591,87,30
b,6380,494,87,30
w,6380,395,84,30
b,6380,296,83,30
w,6380,198,80,30
g,1472,594,141,30
b,1613,594,95,30
g,1472,498,30,96
g,1708,594,75,30
g,1753,624,30,66
w,1367,402,92,30
g,1475,306,259,30
w,1475,163,30,143
b,1703,170,30,136
b,1734,306,80,30
w,1859,208,124,30
g,1953,238,30,452
g,2196,90,30,500
w,1983,238,213,30
b,1983,375,213,30
w,1983,511,213,30
b,2196,590,30,100
w,2679,495,104,30
b,3163,591,140,30
w,3308,492,139,30
b,3452,393,154,30
g,3614,295,137,30
g,3851,295,91,30
w,3775,370,50,30
b,3838,464,125,30
g,3995,527,30,97
g,4025,594,112,30
b,3953,198,116,30
w,4167,198,101,30
g,4353,198,118,30
b,4406,506,30,184
w,4557,506,30,184
g,4702,591,30,99
b,4535,276,111,30
w,4707,368,109,30
g,2884,431,30,259
b,2797,589,87,30
w,2884,290,30,141
d,6100,643,39,51
i,4900,320,29,36
i,6392,155,29,36
