5150
g,0,690,6450,30
b,317,571,30,120
b,410,592,60,30
g,532,541,30,150
w,615,491,210,30
b,628,582,60,30
g,889,492,150,30
g,1110,481,30,210
w,1180,423,60,30
g,1242,546,60,30
b,1274,363,60,30
w,1336,606,60,30
w,1368,302,60,30
b,1462,243,60,30
g,1591,243,210,30
g,1653,481,30,210
w,1784,546,60,30
w,1860,243,60,30
b,1878,606,60,30
b,1954,303,60,30
w,2048,363,60,30
b,2142,423,60,30
g,2253,481,30,210
b,2747,595,150,30
b,3319,601,30,90
w,3348,541,30,150
g,3377,481,30,210
w,3728,612,120,30
b,3902,612,150,30
w,4105,612,120,30
b,5033,541,30,150
g,5121,1,30,630
g,5275,586,60,15
b,5275,501,60,15
w,5275,416,60,15
b,5275,331,60,15
w,5275,246,60,15
d,6100,615,50,75
g,5275,586,60,30
b,5275,501,60,30
w,5275,416,60,30
b,5275,331,60,30
w,5275,246,60,30
d,6100,615,30,56
i,5078,645,29,36
